Car Name,Price (in Lakhs),Rating (out of 5),Safety,Mileage,Seating Capacity,Car Type
Maruti Suzuki Brezza,8.69,4.5,4,21,5,City Car
Maruti Suzuki Fronx,7.54,4.6,3,24,5,City Car
Maruti Suzuki Swift,6.49,4.6,2,28,5,City Car
Maruti Suzuki Dzire,6.84,4.7,5,28.5,5,City Car
Maruti Suzuki Baleno,6.7,4.5,4,26,5,City Car
Maruti Suzuki Grand Vitara,11.42,4.5,5,23,5,City Car
Maruti Suzuki Wagon R,5.79,4.5,1,28.5,4,City Car
Maruti Suzuki Alto K10,4.23,4.6,2,28.5,4,City Car
Maruti Suzuki Ertiga,8.97,4.6,3,23,7,City Car
Maruti Suzuki XL6,11.83,4.4,3,23,6,City Car
Maruti Suzuki Celerio,5.64,4,2,29.5,4,City Car
Maruti Suzuki Jimny,12.76,3.5,3,16,4,City Car
Maruti Suzuki Ignis,5.85,4.7,3,20,4,City Car
Maruti Suzuki S-Presso,4.26,4.4,1,28,4,City Car
Maruti Suzuki Ciaz,9.42,4.3,4,24,5,City Car
Maruti Suzuki Eeco,5.7,4.6,1,22.5,6,City Car
Maruti Suzuki Invicto,25.51,4.6,5,23,7,Highway Car
Mahindra XUV 3XO,7.99,4.6,5,19,5,Highway Car
Mahindra Scorpio,13.77,4.8,4,15,7,Highway Car
Mahindra Bolero,9.81,4.6,3,16,5,City Car
Mahindra Bolero Neo,9.97,4.6,1,17,5,City Car
Mahindra Marazzo,14.59,4.3,4,17,7,Highway Car
Tata Nexon,8,4.6,5,20.5,5,City Car
Tata Punch,6.2,4.4,5,22,5,City Car
Tata Harrier,15,4.7,5,15,5,Highway Car
Tata Tiago,5,4.4,4,23.5,4,City Car
Tata Safari,15.5,4.7,5,15,7,Highway Car
Tata Tigor,6,4.5,4,23.5,4,City Car
Hyndai Exter,6.21,4.6,3,23,4,City Car
Hyndai Venue,7.94,4.6,3,20,5,City Car
Hyndai Verna,11.07,4.6,5,19,5,Highway Car
Toyota Urban Cruiser Hyryder,11.34,4.4,5,23,5,City Car
Toyota Glanza,6.9,4.6,2,26,5,City Car
Toyota Fortuner,36.05,4.5,5,12,7,Highway Car
Toyota Innova Hycross,19.94,4.6,5,19.5,7,Highway Car
Toyota Vellfire,122,4.8,5,19,7,Highway Car
Toyota Fortuner Legender,44.51,4.8,5,14,7,Highway Car
Kia Seltos,11.19,4.7,3,18.5,5,Highway Car
BMW 5 Series,74.4,4.9,5,15,5,Performance Car
BMW X1,50.8,4.5,5,18,5,Highway Car
BMW M340i,75.9,4.8,5,13,5,Performance Car
Skoda Slavia,10.49,4.7,5,19,5,Highway Car
Skoda Kushaq,10.99,4.4,5,18.5,5,Highway Car
Honda City,12.42,4.6,5,17.5,5,Highway Car
MG Gloster,41.07,4.2,5,12.5,5,Highway Car
Land Rover Defender,105,4.8,5,23,7,Performance Car
Renault Triber,6.15,4.5,4,18.5,7,City Car
Renault Kwid,4.7,4.4,1,21.5,4,City Car
Renault Kiger,6.15,4.5,4,19,4,City Car
Citrogen C5 Aircross,39.99,4.1,4,17,5,Highway Car
Jeep Compass,18.99,4.2,5,15,5,Highway Car
Volvo XC60,70.75,4.9,5,12,5,Performance Car
Porsche Cayenne,142,4.6,5,24.5,5,Performance Car
Porsche Macan,96.05,4.7,5,10.5,5,Performance Car
Porsche Cayenne Coupe,149,4.5,5,24.5,5,Performance Car
Lexus ES,64,4.6,5,22,5,Highway Car
Aston Martin DBX,463,4.7,5,10,5,Performance Car
Bentley Bentayga,410,4.9,5,7,5,Performance Car
McLaren 720S,465,4.8,5,8,2,Performance Car
McLaren GT,372,4.5,5,7,2,Performance Car
